Resort;Latitude;Longitude
De?tn? v O.h.;50.299444;16.360868
Dolni morava;50.130675;16.797369
Doln? Dv?r;50.655254;15.655822
Harrachov;50.770196;15.427270
Herlicovice;50.658956;15.594999
Hora Svat? Kate?iny;50.605145;13.431548
Horn? Domky;50.742756;15.491832
Horn? Podlu??;50.878516;14.556436
Hradi?t?;49.034747;15.080496
Javorovy vrch;49.635675;18.631619
Je?t?d;50.733986;14.997721
Ji?et?n pod Jedlovou;50.875104;14.574472
Josef?v D?l;50.781200;15.236307
Kadle??k;49.677135;15.377292
Kamenec - Jabllonec nad Jizerou;50.701421;15.423116
Karasin;49.559394;16.276533
Kare? - Kouty nad Desnou;50.104660;17.130346
Karolinka;49.349525;18.252958
Karperky - Kasperske Hory;49.139567;13.563799
Kaste Pet??kov;50.202604;17.041000
Ka?persk? Hory;49.139567;13.563799
Kl?novec;50.396509;12.968609
Kl?novec jih;50.409405;12.928594
Kl?ny;50.628456;13.566034
Ko?enov Rejdice;50.734349;15.369758
Kocourov;49.359560;13.383660
Koh?tka - Javorniky;49.294761;18.231821
Kom??? V?ka;50.686917;13.855279
Kozinec;50.622448;15.498237
Kraslice;50.325788;12.511108
Kubova Hu?;48.983242;13.771600
Lipno;48.651896;14.234419
Ly?a?sk? are?l P?sek;49.306763;14.126797
Ly?a?sk? vlek Filip;50.730599;15.251650
L?n?;50.642140;15.215890
Mal? Mor?vka - Karlov;50.017915;17.292652
Mal? Up?;50.727686;15.818620
Mari?nsk? L?zn?;49.967339;12.701769
Markid Trutnov - Ski Resort ?ern? Hora;50.635047;15.776002
Merkl?n;50.232472;12.880650
Mezibo??;50.624841;13.592096
Meziho?? u Chomutova;50.534789;13.364550
Miroslav;50.220872;17.125361
Mladkov - Petrovi?ky;50.107277;16.624543
Mlad? Buky;50.601122;15.844752
Modr? Hv?zda - Bah?nka;50.727753;15.471490
Mon?nec - ?esk? Mer?n;49.544502;14.517370
Nad N?dra??m ?elezn? Ruda;49.141629;13.230243
Novako;50.409405;12.928594
Nove mesto na morave;49.561039;16.073719
Nov? Hamry;50.360084;12.719316
Nov? Hamry;50.360084;12.719316
Nov? Hut?;49.073360;13.632660
