Resort;Country;Latitude;Longitude
Mount Blackstrap;Canada;51.778634;-106.443706
Mount Pakenham;Canada;45.324168;-76.327119
Mount Seymour;Canada;49.363349;-122.946141
Mount Sima;Canada;60.610366;-135.046155
Mount St. Louis/Moonstone;Canada;44.625507;-79.664498
Mount Timothy Ski Society;Canada;51.915742;-121.253008
Mt Washington;Canada;49.745360;-125.113780
Mt. Baldy;Canada;49.153022;-119.236323
Mt. Cain;Canada;50.274510;-126.507706
Mt. Phoenix;Canada;49.099079;-118.596603
Murray Ridge;Canada;54.445950;-124.251870
Mystery Mountain;Canada;55.869470;-97.776999
Nakiska;Canada;50.964444;-115.112777
Nitehawk Ski Area;Canada;55.036695;-118.876184
Norway Mountain;Canada;46.649436;-83.474121
Owl?s Head;Canada;45.075168;-72.292111
Panorama Resort;Canada;50.509160;-116.030350
Pass Powderkeg Ski Hill;Canada;49.652716;-114.535361
Pin Rouge;Canada;48.215197;-65.753687
Pine Ridge;Canada;44.551791;-79.674127
Poley Mountain;Canada;45.674523;-65.365562
Powder King;Canada;55.518346;-122.797585
Powder Springs;Canada;51.010100;-118.214440
Purden;Canada;53.902655;-121.883498
Rabbit Hill Ski Area;Canada;53.379391;-113.669940
Red Mountain;Canada;49.079246;-117.821772
Revelstoke;Canada;50.997047;-118.197822
Saint Raymond;Canada;46.922674;-71.800385
Salmo Ski Area;Canada;49.185622;-117.301574
Searchmont;Canada;46.766676;-84.036140
Shames Mountain;Canada;54.499709;-128.985446
Silver Summit;Canada;53.893212;-116.567860
Silverstar;Canada;50.357700;-119.064000
Sir Sam's Ski Area;Canada;45.128539;-78.467681
Ski Ben Eoin;Canada;45.973863;-60.435367
Ski Cape Smokey;Canada;46.440667;-60.468667
Ski Chantecler;Canada;45.955685;-74.173508
Ski Gallix;Canada;46.336892;-79.432545
Ski Pine Tree;Canada;48.588944;-58.598089
Ski Timber Ridge;Canada;52.981620;-105.432900
Ski Valley Resort Minnedosa;Canada;50.317532;-99.880737
Ski Vorlage;Canada;45.645887;-75.935125
Ski Wentworth;Canada;45.610000;-63.556389
Skyloft Ski;Canada;44.028828;-79.076455
Smithers;Canada;54.780142;-127.182127
Smokey Mountain;Canada;52.976626;-66.925610
Snow Valley;Canada;53.485428;-113.555245
Springhill Winter Park;Canada;49.963106;-96.980243
St Mathieu Les Cantons;Canada;46.596365;-72.838134
St. Pac?me;Canada;47.413509;-69.943796
Stoneham;Canada;47.027933;-71.380582
Stony Mountain;Canada;50.093473;-97.206838
Sugarloaf Provincial Park;Canada;47.983430;-66.695166
Summit Lake Ski Area;Canada;50.215501;-117.722296
Sun Peaks;Canada;50.882175;-119.894228
Sunridge Ski Area;Canada;53.566938;-113.370759
Sunshine Village;Canada;51.078611;-115.782222
Table Mountain;Canada;52.812604;-108.600101
Tabor;Canada;53.938131;-122.460489
Talisman Mountain Resort;Canada;44.392800;-80.553000
Tawatinaw Valley;Canada;54.300725;-113.468429
